stoichiometry,U_R3m_V,U_C2m_V
0.2325041736227045,3.7958557600681155,3.35669878378565
0.23414023372287143,3.7950179826120216,3.3554822951916745
0.23577629382303839,3.79418778777316,3.3542781559006385
0.23741235392320534,3.7933631895073314,3.3530810258284207
0.2390484140233723,3.792543697698581,3.3518922557050326
0.24068447412353922,3.791731841353996,3.3507152994148766
0.24232053422370617,3.7909223505220293,3.3495445946466487
0.24395659432387312,3.790122811777825,3.348382329565078
0.24559265442404005,3.7893232730336215,3.347230483231856
0.247228714524207,3.788535036409657,3.346084202390209
0.24886477462437395,3.787747403419425,3.3449472786884376
0.2505008347245409,3.7869675099303564,3.3438186343757033
0.2521368948247078,3.7861913828629845,3.3426949362739578
0.2537729549248748,3.7854192832525277,3.341582237644563
0.2554090150250417,3.7846542738472224,3.3404750416715543
0.25704507512520863,3.7838894608337057,3.339374051126763
0.2586811352253756,3.783135191968821,3.3382826899615297
0.26031719532554254,3.7823809231039363,3.337195332733627
0.2619532554257095,3.7816333033911893,3.3361169765614673
0.26358931552587644,3.780889408666484,3.335044445877596
0.26522537562604337,3.780147822418361,3.333977026431871
0.26686143572621035,3.7794139457503007,3.3329187227462556
0.2684974958263773,3.7786800690822404,3.331863621465985
0.27013355592654426,3.7779538044146155,3.330817339673541
0.2717696160267112,3.7772295996443384,3.3297755710965125
0.2734056761268781,3.776508297970517,3.3287394999004625
0.2750417362270451,3.775793428484073,3.3277105258844557
0.276677796327212,3.775078558997629,3.326684432707102
0.27831385642737894,3.7743709192609467,3.325667735774221
0.2799499165275459,3.7736650576214315,3.3246532920645038
0.28158597662771284,3.7729614744705753,3.323646475207126
0.28322203672787977,3.7722643020617745,3.3226435521630613
0.28485809682804675,3.7715671296529734,3.3216460423272953
0.2864941569282137,3.770875740255267,3.3206541761578596
0.2881302170283806,3.770186946936428,3.319665758211689
0.2897662771285476,3.769498854991545,3.318684503228354
0.2914023372287145,3.7688181387629065,3.317704966123621
0.29303839732888143,3.7681374225342674,3.31673389412287
0.2946744574290484,3.767460228912747,3.315764123214322
0.29631051752921533,3.766787295591446,3.3148017304547706
0.2979465776293823,3.766114362270145,3.3138415356300284
0.29958263772954924,3.765447335336873,3.3128874140201967
0.30121869782971616,3.7647818982428705,3.3119364123485986
0.30285475792988314,3.7641171337732313,3.3109903661367635
0.30449081803005007,3.7634589134248873,3.31004818999258
0.306126878130217,3.762800693076543,3.309110027002586
0.307762938230384,3.762145034757358,3.3081763235388975
0.3093989983305509,3.7614937585763015,3.3072458550750454
0.3110350584307178,3.760842482395245,3.3063202857147025
0.3126711185308848,3.7601953176080154,3.3053973264686927
0.31430717863105173,3.759550719632962,3.304479566411835
0.31594323873121866,3.7589061216579087,3.3035639343717254
