stoichiometry,U_R3m_V,U_C2m_V,U_effective_V,dUdx_R3m_from_sech2,dUdx_C2m_from_sech2,dUdx_effective_from_sech2,relative_dQdV_effective
0.307762938230384,4.65,3.8045955841215897,4.328746321966204,-2.9378119918101526,-1.3493446708541843,-2.3341944098468845,-0.42841333000433185
0.3093989983305509,4.65,3.802316562159954,4.327880293620782,-2.8831505656692897,-1.4359846470920092,-2.3332275166099232,-0.4285908651775871
0.3110350584307178,4.65,3.79989897982426,4.326961612333219,-2.825516122530117,-1.5187554241006234,-2.3289470571269097,-0.42937858846548593
0.3126711185308848,4.65,3.797349031477833,4.325992631961577,-2.76489994204883,-1.5978228416473204,-2.3214106438962565,-0.4307725574660068
0.31430717863105173,4.65,3.794672641630806,4.3249756038197065,-2.701298887381125,-1.673350842620374,-2.3106786303720397,-0.4327732930299317
0.31594323873121866,4.65,3.7918754685051135,4.3239126780319435,-2.6347167722597593,-1.7455009236666015,-2.2968147497943594,-0.4353855704250998
0.31757929883138564,4.65,3.7889629084274294,4.322805905202423,-2.5651657848353673,-1.8144316710476953,-2.279886821596052,-0.43861826408555776
0.31921535893155256,4.65,3.785940100917274,4.321657238348564,-2.492667963175221,-1.8802983736737184,-2.25996751916465,-0.4424842355122118
0.32085141903171954,4.65,3.7828119343503204,4.320468535053122,-2.417256715075427,-1.9432527056779383,-2.2371351915043816,-0.44700025452084596
0.32248747913188647,4.65,3.7795830520890856,4.319241559793852,-2.3389783723488673,-2.0034424713337584,-2.211474729963126,-0.4521869440564098
0.3241235392320534,4.65,3.7762578589845726,4.317977986414138,-2.2578937670174466,-2.061011405569381,-2.1830784696671817,-0.45806873820364946
0.3257595993322204,4.65,3.772840528163124,4.316679400701987,-2.174079813888515,-2.1160990237980526,-2.1520471136541395,-0.4646738417831462
0.3273956594323873,4.65,3.7693350080226224,4.315347303048597,-2.0876310808696807,-2.16884051524318,-2.1184906659316103,-0.4720341779557703
0.3290317195325542,4.65,3.7657450293713177,4.3139831111611,-1.9986613251271648,-2.2193666743911393,-2.0825293578474753,-0.4801853074636176
0.3306677796327212,4.65,3.7620741126510056,4.312588162807382,-1.9073049698909308,-2.2678038656450727,-2.0442945502775047,-0.48916629937904693
0.33230383973288813,4.65,3.7583255751939713,4.3111637185737095,-1.8137184934430677,-2.314274016676386,-2.003929592271729,-0.4990195283589594
0.33393989983305505,4.65,3.7545025384701596,4.30971096461866,-1.7180816987016931,-2.358894636374064,-1.9615906150171942,-0.5097903672378828
0.33557595993322203,4.65,3.750607935287411,4.308231015409216,-1.6205988289567381,-2.4017788536732834,-1.917447238349025,-0.5215267361729481
0.33721202003338896,4.65,3.7466445169134133,4.306724916427097,-1.5214994928694097,-2.4430354739030635,-1.8716831656621982,-0.5342784603430473
0.3388480801335559,4.65,3.742614860093209,4.30519364683542,-1.4210393599722475,-2.4827690496270765,-1.8244966420410824,-0.5480963773555045
0.34048414023372287,4.65,3.7385213739408307,4.3036381220975155,-1.319500586771317,-2.521079963262229,-1.7761007498378636,-0.5630311231450625
0.3421202003338898,4.65,3.734366306687793,4.302059196541361,-1.2171919333309822,-2.5580645190465976,-1.7267235159029162,-0.5791315116694249
0.34375626043405677,4.65,3.730151752274978,4.300457665864492,-1.114448531089404,-2.593815042192295,-1.6766078053085027,-0.5964424099862734
0.3453923205342237,4.65,3.7258796567777357,4.29883426957554,-1.0116312647735104,-2.628419983300691,-1.6260109778138392,-0.6150019979228513
0.3470283806343906,4.65,3.7215518246570354,4.297189693369673,-0.9091257347989719,-2.661964026338364,-1.5752042855839408,-0.6348382931356056
0.3486644407345576,4.65,3.717169924832078,4.295524571436189,-0.8073407715668772,-2.6945281986730754,-1.5244719938672324,-0.6559648219336792
0.3503005008347245,4.65,3.7127354965721135,4.293839488697403,-0.7067064796721624,-2.7261899818514497,-1.4741102105002915,-0.6783753296577565
0.35193656093489145,4.65,3.7082499552072004,4.292134982978736,-0.6076717982328512,-2.7570234219650396,-1.4244254152510827,-0.7020374596613965
0.35357262103505843,4.65,3.703714597659444,4.290411547110589,-0.5107015732798008,-2.7870992386004017,-1.3757326861016292,-0.7268853972159873
